bricqer_item_id,bricklink_id,name,condition_notes,bricqer_price,ebay_avg_sold_price,ebay_min_sold_price,ebay_max_sold_price,ebay_sold_count,ebay_active_count,ebay_sell_through_rate,ebay_avg_shipping,ebay_research_date,meets_threshold,recommended_price,best_offer_auto_accept,best_offer_auto_decline,ebay_sku,ebay_listing_id,ebay_listing_url,listing_status,ebay_title,created_at,updated_at
23856,sw0585,"Imperial Stormtrooper - Printed Legs, Dark Blue Helmet Vents",,4.77,,,,,,,,,true,5.77,5.48,4.33,,,,NOT_LISTED,,2026-02-20T15:23:38.526733+00:00,2026-02-20T16:11:24.468+00:00
13158,sw0926,"Imperial TIE Fighter Pilot - Light Nougat Head, Scowl, White Insignia on Helmet",,7.88,,,,,,,,,true,8.88,8.44,6.66,,,,NOT_LISTED,,2026-02-20T14:58:26.524959+00:00,2026-02-20T16:13:28.571+00:00
11698,ww026,Indian 1,,6.55,,,,,,,,,true,7.55,7.17,5.66,,,,NOT_LISTED,,2026-02-20T14:57:57.572569+00:00,2026-02-20T16:12:21.831+00:00
3836,ww016,Indian 1 - Black Quiver,,6.5,,,,,,,,,true,7.5,7.13,5.63,,,,NOT_LISTED,,2026-02-20T14:57:56.224303+00:00,2026-02-20T16:11:13.453+00:00
5041,ww022,Indian 2,,5.85,,,,,,,,,true,7.78,7.39,5.84,,,,NOT_LISTED,,2026-02-20T14:58:00.17502+00:00,2026-02-20T16:12:32.924+00:00
3838,ww018,"Indian 4 - Female, Black Quiver",,11.9,,,,,,,,,true,12.9,12.26,9.68,,,,NOT_LISTED,,2026-02-20T14:57:56.349289+00:00,2026-02-20T16:11:17.454+00:00
3837,ww017,Indian Chief 1 (Big Chief Rattle Snake / Big Chief Rattlesnake),,4.79,,,,,,,,,true,6.65,6.32,4.99,,,,NOT_LISTED,,2026-02-20T14:57:58.970663+00:00,2026-02-20T16:12:32.394+00:00
3839,ww019,Indian Medicine Man,,6.57,,,,,,,,,true,7.57,7.19,5.68,,,,NOT_LISTED,,2026-02-20T14:57:56.484718+00:00,2026-02-20T16:11:30.068+00:00
23870,iaj001,"Indiana Jones - Dark Brown Jacket, Reddish Brown Fedora, Closed Mouth Lopsided Grin",,3.98,,,,,,,,,true,4.98,4.73,3.74,,,,NOT_LISTED,,2026-02-20T15:23:38.993837+00:00,2026-02-20T16:13:15.074+00:00
3818,sp032,Insectoids Droid (Gigabot),,6.5,,,,,,,,,true,7.5,7.13,5.63,,,,NOT_LISTED,,2026-02-20T14:57:58.268675+00:00,2026-02-20T16:11:39.403+00:00
13203,sh0828,"Iron Man - Mark 50 Armor, Large Helmet Visor",,6.14,,,,,,,,,true,7.14,6.78,5.36,,,,NOT_LISTED,,2026-02-20T14:57:48.608755+00:00,2026-02-20T16:44:51.261+00:00
25446,sh0215,Iron Skull,,3.93,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:10.010988+00:00,2026-02-20T16:12:43.872+00:00
22041,pi069,"Islander, King, with Black Hair-Piece",,4.77,,,,,,,,,true,6.09,5.79,4.57,,,,NOT_LISTED,,2026-02-20T14:58:05.167188+00:00,2026-02-20T16:11:41.097+00:00
3808,pi070,"Islander, Male",,5.89,,,,,,,,,true,6.89,6.55,5.17,,,,NOT_LISTED,,2026-02-20T14:58:00.03361+00:00,2026-02-20T16:12:22.898+00:00
3807,pi070,"Islander, Male",,5.89,,,,,,,,,true,6.89,6.55,5.17,,,,NOT_LISTED,,2026-02-20T14:57:55.967925+00:00,2026-02-20T16:11:12.326+00:00
8490,mof006,Jack McHammer,,5.15,,,,,,,,,true,6.15,5.84,4.61,,,,NOT_LISTED,,2026-02-20T14:57:59.378449+00:00,2026-02-20T16:12:59.428+00:00
23875,sw0468,Jango Fett (Smile),,14.23,,,,,,,,,true,19.68,18.7,14.76,,,,NOT_LISTED,,2026-02-20T15:23:39.394633+00:00,2026-02-20T16:13:47.27+00:00
17195,sw0017,Jar Jar Binks,,4.7,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:15.298542+00:00,2026-02-20T16:13:32.475+00:00
23852,sw0301,Jar Jar Binks (Printed Head),,5.25,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:38.040188+00:00,2026-02-20T16:13:38.756+00:00
23834,sw0560,Jawa - Straps,,4.54,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:37.320578+00:00,2026-02-20T16:13:14.413+00:00
11019,sw0896,Jawa - Straps with Black Stains,,5.31,,,,,,,,,true,6.31,5.99,4.73,,,,NOT_LISTED,,2026-02-20T15:22:27.777081+00:00,2026-02-20T16:12:08.496+00:00
17886,njo0310,Jungle Garmadon - The LEGO Ninjago Movie,,3.5,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:25.722242+00:00,2026-02-20T16:11:25.583+00:00
13990,colhp35,"Kingsley Shacklebolt, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)",,3.97,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:32.519399+00:00,2026-02-20T16:11:45.8+00:00
13454,cas037,Knights Kingdom I - Knight 1,,3.5,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:47.256674+00:00,2026-02-20T16:43:43.205+00:00
13054,cas283,"Knights Kingdom II - Shadow Knight, Adventurer Head (Chess Pawn)",,3.6,,,,,,,,,true,4.88,4.64,3.66,,,,NOT_LISTED,,2026-02-20T14:57:59.778497+00:00,2026-02-20T16:12:04.308+00:00
17883,njo0291,Krux - Old,,50,,,,,,,,,true,51,48.45,38.25,,,,NOT_LISTED,,2026-02-20T15:22:25.191583+00:00,2026-02-20T16:12:15.495+00:00
24993,njo0674,"Lloyd - Young Lloyd, Legacy",,4.08,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:15.551939+00:00,2026-02-20T16:13:27.489+00:00
24963,njo0519,Lloyd FS,,6.16,,,,,,,,,true,7.16,6.8,5.37,,,,NOT_LISTED,,2026-02-20T14:58:14.606399+00:00,2026-02-20T16:13:09.451+00:00
8509,mof013,Lord Vampyre,,4.4,,,,,,,,,true,5.4,5.13,4.05,,,,NOT_LISTED,,2026-02-20T14:57:59.504492+00:00,2026-02-20T16:11:39.948+00:00
16100,sw0907,"Luke Skywalker (Dagobah, Tan Tank Top, Backpack)",,6.85,,,,,,,,,true,7.85,7.46,5.89,,,,NOT_LISTED,,2026-02-20T15:22:32.780567+00:00,2026-02-20T16:11:48.848+00:00
11325,sw0991,"Luke Skywalker (Pilot, Printed Legs, Visor Up / Down)",,3.65,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:23.402571+00:00,2026-02-20T16:13:44.468+00:00
22893,sw0991,"Luke Skywalker (Pilot, Printed Legs, Visor Up / Down)",,3.65,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:34.002798+00:00,2026-02-20T16:13:13.803+00:00
3828,sw0021,Luke Skywalker (Tatooine),,5.19,,,,,,,,,true,6.19,5.88,4.64,,,,NOT_LISTED,,2026-02-20T14:57:53.036643+00:00,2026-02-20T16:11:03.472+00:00
9471,sw0566,Luke Skywalker (Tatooine) - 2014 version,,3.07,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:24.767777+00:00,2026-02-20T16:13:10.723+00:00
17196,sw0068,Luke Skywalker with Black Right Hand (Final Duel II),,5.24,,,,,,,,,true,6.24,5.93,4.68,,,,NOT_LISTED,,2026-02-20T15:23:15.44425+00:00,2026-02-20T16:13:19.651+00:00
11006,sw0887,"Luke Skywalker, Old",,11.46,,,,,,,,,true,12.46,11.84,9.35,,,,NOT_LISTED,,2026-02-20T15:22:31.116653+00:00,2026-02-20T16:11:27.815+00:00
3819,sp033,M:Tron with Air Tanks,,3.45,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:40.890537+00:00,2026-02-20T16:11:46.382+00:00
22247,sp033,M:Tron with Air Tanks,,3.45,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:07.356955+00:00,2026-02-20T16:12:06.282+00:00
3820,sp033,M:Tron with Air Tanks,,3.45,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:40.49473+00:00,2026-02-20T16:12:29.043+00:00
3793,cas019,Majisto Wizard,,5.9,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:39.537201+00:00,2026-02-20T16:11:50.135+00:00
7098,twn102,Mannequin - Bride,,6.53,,,,,,,,,true,7.84,7.45,5.88,,,,NOT_LISTED,,2026-02-20T14:57:45.97001+00:00,2026-02-20T16:43:09.147+00:00
23895,sh0103,Mary Jane 5,,9.31,,,,,,,,,true,14.46,13.74,10.85,,,,NOT_LISTED,,2026-02-20T15:23:39.812253+00:00,2026-02-20T16:11:25.026+00:00
25698,tnt003,Michelangelo,,3.26,,,,,,,,,true,4.86,4.62,3.65,,,,NOT_LISTED,,2026-02-20T14:58:13.248828+00:00,2026-02-20T16:12:53.874+00:00
25412,tnt040,"Michelangelo, Frown (Movie Version)",,14.88,,,,,,,,,true,15.88,15.09,11.91,,,,NOT_LISTED,,2026-02-20T14:58:09.752274+00:00,2026-02-20T16:12:42.573+00:00
9156,85863pb101,Microfigure Batman,,4.15,,,,,,,,,true,5.96,5.66,4.47,,,,NOT_LISTED,,2026-02-20T15:22:20.865426+00:00,2026-02-20T16:12:25.115+00:00
11074,njo0412,Misako (Koko) (Lady Iron Dragon) - The LEGO Ninjago Movie,,6.18,,,,,,,,,true,7.18,6.82,5.39,,,,NOT_LISTED,,2026-02-20T15:22:31.687542+00:00,2026-02-20T16:12:10.365+00:00
7396,hp088,Molly Weasley - Medium Nougat Legs,,4.71,,,,,,,,,true,6.07,5.77,4.55,,,,NOT_LISTED,,2026-02-20T14:57:57.198843+00:00,2026-02-20T16:11:50.718+00:00
17853,njo0158,Morro - Possession,,12.81,,,,,,,,,true,13.81,13.12,10.36,,,,NOT_LISTED,,2026-02-20T15:23:23.553596+00:00,2026-02-20T16:13:25.122+00:00
9465,loc084,Mottrot,,5.75,,,,,,,,,true,6.75,6.41,5.06,,,,NOT_LISTED,,2026-02-20T15:22:27.124624+00:00,2026-02-20T16:11:22.681+00:00
8487,mof001,Mummy - Glow In Dark Pattern,,7.51,,,,,,,,,true,8.51,8.08,6.38,,,,NOT_LISTED,,2026-02-20T14:57:49.948643+00:00,2026-02-20T16:11:00.794+00:00
7506,pha011,Mummy Warrior 2,,3.05,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:07.748701+00:00,2026-02-20T16:12:31.326+00:00
7451,col051,"Musketeer, Series 4 (Minifigure Only without Stand and Accessories)",,5.57,,,,,,,,,true,6.57,6.24,4.93,,,,NOT_LISTED,,2026-02-20T15:22:44.951192+00:00,2026-02-20T16:12:20.158+00:00
25576,sh0783,"Mysterio - Magenta Trim, Dark Azure Head, Satin Trans-Light Blue Helmet, Single Hole Cape",,4.66,,,,,,,,,true,5.66,5.38,4.25,,,,NOT_LISTED,,2026-02-20T14:58:11.970404+00:00,2026-02-20T16:12:11.497+00:00
9426,sim013,"Ned Flanders, The Simpsons, Series 1 (Minifigure Only without Stand and Accessories)",,3.36,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:47.110692+00:00,2026-02-20T16:43:26.081+00:00
23201,sim018,"Nelson Muntz, The Simpsons, Series 1 (Minifigure Only without Stand and Accessories)",,3.58,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:03.212249+00:00,2026-02-20T16:11:53.228+00:00
7955,hp129,"Neville Longbottom - Fair Isle Sweater, Black Legs",,3.23,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:57.448671+00:00,2026-02-20T16:12:12.053+00:00
7202,col012,"Ninja, Series 1 (Minifigure Only without Stand and Accessories)",,3.95,,,,,,,,,true,5.36,5.09,4.02,,,,NOT_LISTED,,2026-02-20T15:22:46.40764+00:00,2026-02-20T16:12:30.187+00:00
23847,sh0051,Nova,,10.19,,,,,,,,,true,11.19,10.63,8.39,,,,NOT_LISTED,,2026-02-20T15:23:37.905671+00:00,2026-02-20T16:13:46.736+00:00
7201,col011,"Nurse, Series 1 (Minifigure Only without Stand and Accessories)",,3.9,,,,,,,,,true,5.88,5.59,4.41,,,,NOT_LISTED,,2026-02-20T15:22:44.821974+00:00,2026-02-20T16:13:07.63+00:00
7950,sw0336,"Obi-Wan Kenobi - Old, Light Nougat, Reddish Brown Hood and Cape, White Pupils",,6.9,,,,,,,,,true,7.9,7.51,5.93,,,,NOT_LISTED,,2026-02-20T15:22:30.852432+00:00,2026-02-20T16:12:27.909+00:00
11985,sw1220,"Obi-Wan Kenobi - Reddish Brown Robe, Dark Orange Mid-Length Tousled with Center Part Hair",,4.04,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:28.034178+00:00,2026-02-20T16:12:16.619+00:00
22091,cas091,"Peasant - Light Gray Legs, Black Hood",,3.65,,,,,,,,,true,4.65,4.42,3.49,,,,NOT_LISTED,,2026-02-20T14:58:06.38371+00:00,2026-02-20T16:12:41.303+00:00
22083,cas093,"Peasant - Red Legs, Black Hood",,3.02,,,,,,,,,true,4.77,4.53,3.58,,,,NOT_LISTED,,2026-02-20T14:58:05.933481+00:00,2026-02-20T16:12:34.003+00:00
