ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
17962,"U-P4",973pb2804c01,"Torso Ninjago Female Robe with Ninjago Logogram 'WATER', Silver Medallion Pattern / Pearl Dark Gray Arms with Silver Elbow Pads Pattern / Black Hands",Used,1,0.36,0.36
24126,"U-R7",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,1,0.36,0.36
24235,"U-R9",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,1,0.36,0.36
14961,"U-BIO-F",90652,"Large Figure Torso Armor with 2 Chest Holes",Used,7,0.05,0.35
25277,"U-309-9",15339,"Minifigure Armor Breastplate with Shoulder Pads and Front Stud",Used,1,0.35,0.35
10349,"U-K13",22402,"Minifigure Armor Breastplate with Shoulder Pads Large, Pentagonal Cutout and 4 Studs on Back",Used,1,0.35,0.35
24424,"U-R11",22402,"Minifigure Armor Breastplate with Shoulder Pads Large, Pentagonal Cutout and 4 Studs on Back",Used,1,0.35,0.35
16623,"U-304-3",49588pb03,"Minifigure, Head, Modified Snake, Cobra with Closed Mouth with Molded Orange Eyes, Fangs, and Flames on Closed Hood Pattern",Used,1,0.34,0.34
11865,"U-B6",973pb4474c01,"Torso Jacket, Lime and Bright Green Shirt, Silver Belt with Skull Pattern / Magenta Arms / Bright Green Hands",Used,1,0.34,0.34
13766,"U-B8",973pb1925c01,"Torso Armor Robot with Blue and Light Bluish Gray Pattern / Pearl Dark Gray Arms / Dark Bluish Gray Hands",Used,1,0.31,0.31
12848,"U-D2-3",98603,"Large Figure Chest Armor Small",Used,1,0.31,0.31
12819,"U-N18",973pb1925c01,"Torso Armor Robot with Blue and Light Bluish Gray Pattern / Pearl Dark Gray Arms / Dark Bluish Gray Hands",Used,1,0.31,0.31
12852,"U-O6",973pb1925c01,"Torso Armor Robot with Blue and Light Bluish Gray Pattern / Pearl Dark Gray Arms / Dark Bluish Gray Hands",Used,1,0.31,0.31
17834,"U-P3",973pb1925c01,"Torso Armor Robot with Blue and Light Bluish Gray Pattern / Pearl Dark Gray Arms / Dark Bluish Gray Hands",Used,1,0.31,0.31
7749,"U-BIO-E",92217,"Hero Factory Weapon, Half Claw",Used,6,0.05,0.30
25319,"U-309-9",10050,"Minifigure, Weapon Sword, Uruk-hai",Used,1,0.30,0.30
10739,"U-302-7",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
10738,"U-303-2",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
10737,"U-A32-1",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
10736,"U-A34-1",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
18016,"U-P4",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
18026,"U-P5",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
18131,"U-P6",970c00pb0628,"Hips and Legs with Metallic Silver Armor with Rivets, Red Fabric, Chain Mail on Knees and Boots Pattern",Used,1,0.28,0.28
8194,"U-BIO-E",98563,"Hero Factory Weapon, Zamor Sphere Launcher Top Half with Barrel and Sight",Used,3,0.09,0.27
13162,"U - A33-2",973pb3810c01,"Torso Armor, Silver and Bright Light Orange Highlights and Silver 'AIM' Pattern / Bright Light Orange Arms / Black Hands",Used,1,0.26,0.26
25065,"U-309-5",973pb3810c01,"Torso Armor, Silver and Bright Light Orange Highlights and Silver 'AIM' Pattern / Bright Light Orange Arms / Black Hands",Used,1,0.26,0.26
13672,"U-BIO-S",92205,"Hero Factory Weapon, Rotary Saw",Used,2,0.13,0.26
